"New password","Ny adgangskode"
"Confirm new password","Bekræft ny adgangskode"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Tip: Din adgangskode skal være mindst syv tegn langt. For at gøre den stærkere bør du bruge store og små bogstaver, tal og symboler som ! \" ? $ %s ^ &amp; )."
"Registration Form","Registreringsformular"
"Register For This Site","Registrer til denne blog"
"A password will be e-mailed to you.","En adgangskode vil blive sendt til din e-mail adresse."
"Password Lost and Found","Hittegodskontor for kodeord"
"Lost your password?","Mistet din adgangskode?"
"You have logged in successfully.","Du er logget ind."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>FEJL</strong>: Cookies er blokeret eller ikke underst&#248;ttet af din browser. Du skal <a href='http://www.google.com/cookies.html'>aktivere cookies</a> for at bruge WordPress."
"You are now logged out.","Du er nu logget ud."
"User registration is currently not allowed.","Registrering af brugere er i &#248;jeblikket ikke tilladt."
"Check your e-mail for the confirmation link.","Tjek din e-mail for bekr&#230;ftelseslinket."
"Check your e-mail for your new password.","Tjek din e-mail for din nye adgangskode."
"Registration complete. Please check your e-mail.","Registrering er f&#230;rdig. Tjek din e-mail."
"Your session has expired. Please log-in again.","Sessionen er udløbet. Log venligst ind igen."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Du har opdateret WordPress med succes!</strong> Log ind og oplev den ultimative CMS nydelse."
"This action has been disabled by the administrator.","Denne handling er slået fra af en administrator."
"Slow down cowboy, no need to check for new mails so often!","Ro på hesten, cowboy. Du behøver ikke tjekke mail så tit!"
"There doesn&#8217;t seem to be any new mail.","Der lader ikke til at v&#230;re nye e-mails."
"Author is %s","Forfatter er %s"
"<strong>Author:</strong> %s","<strong>Forfatter:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Udgivelsestitel:</strong> %s"
"Oops: %s","Ups: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Mission fuldført. Beskeden <strong>%s</strong> er slettet."
"Site Name:","Navn på websted:"
"Site Domain:","Domæne for websted:"
"sitename","webstedsnavn"
"domain","domæne"
