"New password","Uusi salasana"
"Confirm new password","Varmista uusi salasana"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Vihje: Salasanan kannattaa olla vähintään seitsemän merkkiä pitkä. Jos haluat tehdä salasanasta mahdollisimman turvallisen, käytä isoja ja pieniä kirjaimia, numeroita ja symboleja kuten ! \" ? $ %s ^ &amp; )."
"Registration Form","Rekisteröintilomake"
"Register For This Site","Rekisteröidy tälle sivustolle"
"A password will be e-mailed to you.","Saat salasanan sähköpostitse."
"Password Lost and Found","Palauta salasana"
"Lost your password?","Salasana hukassa?"
"You have logged in successfully.","Olet kirjautunut sisään onnistuneesti."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>VIRHE</strong>: Evästeet on estetty tai selaimesi ei tue evästeitä. Sinun täytyy <a href='http://www.google.com/cookies.html'>ottaa evästeet käyttöön</a>käyttääksesi WordPressiä."
"You are now logged out.","Olet kirjautunut ulos."
"User registration is currently not allowed.","Käyttäjärekisteröintiä ei tällä hetkellä sallita."
"Check your e-mail for the confirmation link.","Varmistusosoite lähetetään sähköpostiisi."
"Check your e-mail for your new password.","Uusi salasana lähetetään sähköpostiisi."
"Registration complete. Please check your e-mail.","Rekisteröinti suoritettu. Tarkista sähköpostisi."
"Your session has expired. Please log-in again.","Istuntosi on vanhentunut. Kirjaudu uudelleen."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Olet onnistuneesti päivittänyt WordPressin!</strong> Kirjaudu takaisin sisään."
"This action has been disabled by the administrator.","Pääkäyttäjä on estänyt tämän toiminnon."
"Slow down cowboy, no need to check for new mails so often!","Hidasta vähän, ei sinun noin usein tarvitse tarkistaa sähköpostiasi!"
"There doesn&#8217;t seem to be any new mail.","Ei uusia viestejä."
"Author is %s","Kirjoittaja on %s"
"<strong>Author:</strong> %s","<strong>Kirjoittaja:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Otsikko:</strong> %s"
"Oops: %s","Oho: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Tehtävä suoritettu. Viesti <strong>%s</strong> poistettu."
"Site Name:","Sivuston nimi:"
"Site Domain:","Sivuston verkkotunnus:"
"sitename","sivustonnimi"
"domain","verkkotunnus"
"Your address will be %s.","Sivustosi osoite on %s."
