"Activation Key Required","Clef d&rsquo;activation requise"
"Activation Key:","Clef d&rsquo;activation&nbsp;:"
"Activate","Activer"
"Your account is now active!","Votre compte est maintenant activé&nbsp;!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Votre compte vient d&rsquo;être activé. Vous pouvez dès maintenant vous <a href=\"%s\">connecter</a> à votre site en utilisant votre identifiant &laquo;&nbsp;%s&nbsp;&raquo;. Vous trouverez dans votre messagerie (sur %s) un message vous donnant votre mot de passe et identifiant, ainsi que les instructions pour vous connecter. Si vous ne recevez pas d&rsquo;e-mail, pensez à consulter le dossier &laquo;&nbsp;spam&nbsp;&raquo; de votre client de messagerie. Si vous ne recevez pas votre mot de passe dans moins d&rsquo;une heure, vous pouvez <a href=\"%s\">réinitialiser votre mot de passe</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Votre site est activé à <a href=\"%s\">%s</a>. Vous pouvez dès maintenant vous connecter à ce site en utilisant l&rsquo;identifiant choisi &laquo;&nbsp;%s&nbsp;&raquo;. Vous trouverez dans votre messagerie (sur %s) un message vous donnant votre mot de passe et identifiant, ainsi que les instructions pour vous connecter. Si vous ne recevez pas d&rsquo;e-mail, pensez à consulter le dossier &laquo;&nbsp;spam&nbsp;&raquo; de votre client de messagerie. Si vous ne recevez pas votre mot de passe dans moins d&rsquo;une heure, vous pouvez <a href=\"%s\">réinitialiser votre mot de passe</a>."
"An error occurred during the activation","Une erreur est survenue lors de l&rsquo;activation"
"Username:","Identifiant&nbsp;:"
"Password:","Mot de passe&nbsp;:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Votre compte est maintenant activé. <a href=\"%s\">Consultez votre site</a> ou <a href=\"%s\">connectez-vous</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Votre compte est maintenant activé. <a href=\"%s\">Connectez-vous</a> ou retournez sur la <a href=\"%s\">page d&rsquo;accueil de votre site</a>."
"Sorry, comments are closed for this item.","Désolé, les commentaires sont fermés pour cet article."
"Sorry, you must be logged in to post a comment.","Désolé, vous devez être connecté(e) pour rédiger un commentaire."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>ERREUR</strong>&nbsp;: veuillez renseigner les champs obligatoires (nom, e-mail)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ERREUR</strong>&nbsp;: veuillez saisir une adresse de messagerie valide."
"<strong>ERROR</strong>: please type a comment.","<strong>ERREUR</strong>&nbsp;: veuillez saisir un commentaire."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s nécessite la version 3.0 de WordPress ou supérieure."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Veuillez <a href=\"%s\">mettre à jour WordPress</a> à la version actuelle, ou <a href=\"%s\">restaurer la version 2.4 du plugin Akismet</a>."
"Comment History","Voir l&rsquo;historique du commentaire"
"Settings","Réglages"
"Cheatin&#8217; uh?","Alors, on triche&nbsp;?"
"Your key has been cleared.","Votre clef a été vidée."
"Your key has been verified. Happy blogging!","Votre clef a été vérifiée. Écrivez sans limites&nbsp;!"
"The key you entered is invalid. Please double-check it.","Votre clef ne semble pas être valide. Veuillez la vérifier."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","La clef que vous avez entrée n&rsquo;a pas pu être vérifiée, car la connexion à akismet.com n&rsquo;a pas pu être établie. Veuillez vérifier la configuration de votre serveur."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Il y a eu un problème lors de la connexion au serveur Akismet. Veuillez vérifier la configuration de votre serveur."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Veuillez saisir une clef d&rsquo;API. (<a href=\"%s\" style=\"color:#fff\">Obtenir votre clef</a>)"
"This key is valid.","Cette clef est valide."
"This key is invalid.","Cette clef n&rsquo;est pas valide."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","La clef ci-dessous a déjà été validée, mais la connexion à akismet.com ne peut être établie pour le moment. Veuillez vérifier la configuration de votre serveur."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","L&rsquo;adresse de votre accueil WordPress (%s) n&rsquo;est pas valide. Veuillez la corriger l&rsquo;<a href=\"%s\">option de l&rsquo;accueil</a>."
"Options saved.","Options enregistrées."
"Akismet Configuration","Configuration Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Vous êtes bien enregistré&nbsp;!</strong> Une fois votre clef pour l&rsquo;API Akismet reçue, veuillez la saisir ci-dessous."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Déjà utilisé par de nombreux sites, <a href=\"%s\">Akismet</a> va vous permettre de réduire voire d&rsquo;éliminer complètement les commentaires indésirables (spams) et les faux rétroliens qui affectent votre site. Si l&rsquo;un d&rsquo;eux passait au travers du filet, vous n&rsquo;aurez qu&rsquo;à simplement le marquer comme &laquo&nbsp;indésirable&nbsp;&raquo; sur l&rsquo;écran de modération, et Akismet apprendra de ses erreurs. Si vous n&rsquo;avez pas encore de clef d&rsquo;API, vous pouvez en obtenir une en allant sur <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Clef pour l&rsquo;API Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">De quoi s&rsquo;agit-il&nbsp;?</a>"
"Why might my key be invalid?","Pourquoi ma clef ne serait-elle pas valide&nbsp;?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Cela peut avoir deux causes&nbsp;: soit vous avez mal recopié la clef, soit l&rsquo;extension n&rsquo;a pas été capable de contacter les serveurs d&rsquo;Akismet. Cette dernière erreur est souvent causée par un problème du côté du pare-feu (firewall) de l&rsquo;hébergeur."
"Auto-delete spam submitted on posts more than a month old.","Supprimer automatiquement les commentaires indésirables sur les articles datant de plus d&rsquo;un mois."
"Show the number of comments you've approved beside each comment author.","Afficher le nombre de commentaires que vous avez validés à côté de chaque auteur de commentaire."
"Update options &raquo;","Mettre à jour les options &raquo;"
"Server Connectivity","Connectivité serveur"
"Network functions are disabled.","Les fonctionnalités réseau sont désactivées."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Votre hébergeur web ou votre administrateur système a désactivé les fonctions <code>fsockopen</code> ou <code>gethostbynamel</code> de PHP. <strong>Akismet ne pourra pas fonctionner correctement tant que ce problème ne sera pas résolu.</strong> Veuillez contacter votre hébergeur ou votre administrateur réseau avec <a href=\"%s\" target=\"_blank\">ces informations à propos des pré-requis systèmes</a>."
"Unable to reach some Akismet servers.","Impossible d&rsquo;atteindre certains serveurs d&rsquo;Akismet."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problème réseau ou un pare-feu bloque une partie des connexions vers le serveur d&rsquo;Akismet.com. Akismet fonctionne, mais des problèmes peuvent survenir en cas de congestion réseau. Veuillez contacter votre hébergeur ou votre administrateur réseau avec <a href=\"%s\" target=\"_blank\">ces informations</a> (en anglais)."
"Unable to reach any Akismet servers.","Impossible d&rsquo;atteindre les serveurs d&rsquo;Akismet."
