"New password","סיסמה חדשה"
"Confirm new password","לאישור הסיסמה החדשה"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","רמז: סיסמה צריכה להיות בת שבע תווים לפחות. כדי שתהיה בטוחה יותר, יש להשתמש באותיות גדולות וקטנות, ספרות, וסימנים כמו ! \" ? $ %s ^ &amp; )."
"Registration Form","הרשמה"
"Register For This Site","הרשמה לאתר"
"A password will be e-mailed to you.","הסיסמה תשלח לכתובת האימייל."
"Password Lost and Found","שחזור סיסמה"
"Lost your password?","שחזור סיסמה"
"You have logged in successfully.","התחברת בהצלחה"
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>שגיאה</strong>: הדפדפן לא תומך בעוגיות (Cookies), או חוסם עוגיות מאתר זה. לא ניתן להשתמש בוורדפרס <a href='http://www.google.com/cookies.html'>בלי עוגיות</a>."
"You are now logged out.","יצאת מהמערכת."
"User registration is currently not allowed.","בשלב זה האתר אינו פתוח להרשמת משתמשים חדשים."
"Check your e-mail for the confirmation link.","נשלחה אליך הודעה עם קישור לאישור איפוס הסיסמה."
"Check your e-mail for your new password.","נשלחה הודעה עם סיסמה חדשה."
"Registration complete. Please check your e-mail.","ההרשמה הושלמה בהצלחה. אישור על ההרשמה יחד עם שם המשתמש והסיסמה, נשלחו לכתובת האימייל שהוזנה."
"Your session has expired. Please log-in again.","צריך להתחבר מחדש."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>וורדפרס שודרגה בהצלחה!</strong>"
"This action has been disabled by the administrator.","ההנהלה חסמה את האפשרות הזו."
"Slow down cowboy, no need to check for new mails so often!","לאט לאט, לא צריך לבדוק אימיילים כל כך הרבה."
"There doesn&#8217;t seem to be any new mail.","אין הודעות אימייל חדשות"
"Author is %s","מאת %s"
"<strong>Author:</strong> %s","<strong>מאת:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>כותרת:</strong> %s"
"Oops: %s","אופס: %s"
"Mission complete. Message <strong>%s</strong> deleted.","המשימה הושלמה. ההודעה <strong>%s</strong> נמחקה."
"Site Name:","כתובת האתר:"
"Site Domain:","כתובת האתר:"
"sitename","blog_address"
"domain","שם מתחם"
"Your address will be %s.","הכתובת שלך תהיה %s."
