"New password","Nova lozinka"
"Confirm new password","Potvrdi novu lozinku"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Savjet: Lozinka mora imati najmanje sedam znakova. Da biste sastavili jaču lozinku, koristite velika i mala slova, brojeve i simbole poput ! \" ? $ %s ^ &amp; )."
"Registration Form","Registracijski obrazac"
"Register For This Site","Registrirajte se na ovu Web stranicu"
"A password will be e-mailed to you.","Lozinku ćete primiti e-poštom."
"Password Lost and Found","Lozinka izgubljena i nađena"
"Lost your password?","Izgubili ste lozinku?"
"You have logged in successfully.","Uspješno ste se prijavili."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>POGREŠKA</strong>: Kolačići (Cookies) su blokirani ili ih vaš preglednik ne podržava. <a href='http://www.google.com/cookies.html'>Omogućite kolačiće (enable cookies) </a> za korištenje WordPressa."
"You are now logged out.","Sada ste odjavljeni."
"User registration is currently not allowed.","Registracija novih korisnika trenutno nije dopuštena."
"Check your e-mail for the confirmation link.","Provjerite svoju e-poštu, za poveznicu za potvrdu registracije."
"Check your e-mail for your new password.","Provjerite svoju e-poštu za novu lozinku."
"Registration complete. Please check your e-mail.","Registracija dovršena. Molim provjerite svoju e-poštu."
"Your session has expired. Please log-in again.","Vaša sesija je istekla. Molim ponovno se prijavite."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Uspješno ste ažurirali WordPress!</strong> Molimo ponovno se prijavite kako bi iskusili fenomenalnost."
"This action has been disabled by the administrator.","Ovu akciju je onemogućio administrator."
"Slow down cowboy, no need to check for new mails so often!","Uspori kauboju, nema potrebe za toliko čestim provjeravanjem pošte!"
"There doesn&#8217;t seem to be any new mail.","Izgleda da nema novih poruka e-pošte."
"Author is %s","Autor je %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Objavljeni naslov:</strong> %s"
"Oops: %s","Ups: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Misija izvršena.  Poruka <strong>%s</strong> izbrisana."
"Site Name:","Ime Sajta:"
"Site Domain:","Domena Sajta:"
"sitename","ime sajta"
"domain","domena"
"Your address will be %s.","Vaša adresa će biti %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Mora sadržavati najmanje 4 znaka, samo slova i brojke. Ne može biti promijenjeno, stoga birajte pažljivo!"
"Site Title:","Naslov Sajta:"
"Privacy:","Privatnost:"
"Allow search engines to index this site.","Dopusti tražilicama da indeksiraju ovu web stranicu."
"Yes","Da"
"No","Ne"
"(Must be at least 4 characters, letters and numbers only.)","(Mora sadržavati najmanje 4 znaka, samo slova i brojke.)"
"Email&nbsp;Address:","Email&nbsp;Adresa:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Poslali smo vam registracijski email na danu adresu. (Dva puta provjerite svoju email adresu prije nastavljanja dalje.)"
"Get <em>another</em> %s site in seconds","Napravi <em>još jednu</em> %s web stranicu u par sekundi."
"There was a problem, please correct the form below and try again.","Došlo je do greške, molim ponovno ispravite formu ispod i pokušajte ponovno."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Dobrodošli natrag, %s. Popunjavanjem forme ispod, možete <strong>dodati još jednu web stranicu vašem računu</strong>. Ne postoji limit na broj web stranica koje možete posjedovati, stoga kreirajte kako vam srce nalaže, ali pišite odgovorno."
"Sites you are already a member of:","Web stranice kojih ste član:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Ako nećete koristiti odličnu domenu za web stranicu, ostavite ju za novog korisnika. Sad navalite!"
"Create Site","Stvori Sajt"
"The site %s is yours.","Web stranica %s je vaša."
