"New password","Kata sandi baru"
"Confirm new password","Konfirmasi kata sandi baru"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Petunjuk: Panjang kata sandi tersebut minimal tujuh karakter. Untuk membuatnya lebih kuat, gunakan huruf besar dan kecil, angka dan simbol-simbol seperti ! \" ? $ %s ^ &amp; )."
"Registration Form","Form Pendaftaran"
"Register For This Site","Daftar di Situs Ini"
"A password will be e-mailed to you.","Sebuah kata sandi akan dikirim ke e-mail Anda."
"Password Lost and Found","Kata Sandi Hilang dan Ditemukan"
"Lost your password?","Kehilangan kata sandi Anda?"
"You have logged in successfully.","Anda berhasil masuk log."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>GALAT</strong>: Cookies diblokir atau tidak didukung oleh peramban Anda. Anda harus <a href='http://www.google.com/cookies.html'>mengaktifkan cookies</a> untuk menggunakan WordPress."
"You are now logged out.","Anda sekarang sudah keluar log."
"User registration is currently not allowed.","Pendaftaran pengguna saat ini tidak dibuka."
"Check your e-mail for the confirmation link.","Periksa e-mail Anda untuk taut konfirmasi."
"Check your e-mail for your new password.","Periksa e-mail Anda untuk kata sandi baru Anda."
"Registration complete. Please check your e-mail.","Registrasi selesai. Silakan periksa e-mail Anda."
"Your session has expired. Please log-in again.","Sesi Anda telah kadaluwarsa. Silakan masuk log kembali."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Anda telah berhasil memperbarui WordPress!</strong> Silahkan log masuk kembali untuk merasakan kehebatannya."
"This action has been disabled by the administrator.","Tindakan ini telah dinonaktifkan oleh administrator."
"Slow down cowboy, no need to check for new mails so often!","Pelan-pelan bung, tak perlu memeriksa surel baru terlalu sering..."
"There doesn&#8217;t seem to be any new mail.","Nampaknya tidak ada surat baru."
"Author is %s","Penulis %s"
"<strong>Author:</strong> %s","<strong>Penulis:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Judul yang diberikan:</strong> %s"
"Oops: %s","Ups: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Misi berhasil. Pesan <strong>%s</strong> dihapus."
"Site Name:","Nama Situs:"
"Site Domain:","Domain Situs:"
"sitename","namasitus"
"Your address will be %s.","Alamat Anda akan menjadi %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Minimal harus 4 karakter, huruf dan angka saja. Ini tidak dapat diubah, jadi pilihlah dengan hati-hati!"
"Site Title:","Judul Situs:"
"Privacy:","Privasi:"
"Allow search engines to index this site.","Ijinkan mesin pencari untuk mengindeks situs ini."
"Yes","Ya"
"No","Tidak"
"(Must be at least 4 characters, letters and numbers only.)","(Harus minimal 4 karakter, huruf dan angka saja.)"
"Email&nbsp;Address:","Alamat&nbsp;Surel:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Kami mengirimkan surel pendaftaran Anda ke alamat ini. (Periksa kembali alamat surel Anda sebelum melanjutkan.)"
"Get <em>another</em> %s site in seconds","Dapatkan Situs <em>lain</em> %s dalam hitungan detik"
"There was a problem, please correct the form below and try again.","Ada masalah, silakan perbaiki formulir di bawah ini dan coba lagi."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Selamat datang kembali, %s. Dengan mengisi formulir di bawah ini, Anda dapat <strong>menambah situs yang lain ke akun Anda</strong>. Tidak ada batasan untuk jumlah situs yang dapat Anda miliki, jadi ciptakanlah sesuka hati Anda, tapi tulislah dengan bertanggung jawab!"
"Sites you are already a member of:","Situs Anda sudah menjadi anggota dari:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Jika Anda tidak akan menggunakan domain dengan baik, sisakan untuk pengguna baru. Sekarang lanjutkan!"
"Create Site","Ciptakan Situs"
"The site %s is yours.","Situs ini %s adalah milik Anda."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> adalah situs baru Anda. <a href=\"%s\">Log masuk</a> sebagai &#8220;%s&#8221; menggunakan kata sandi Anda."
"Get your own %s account in seconds","Dapatkan akun %s Anda sendiri dalam hitungan detik"
"Gimme a site!","Beri saya sebuah situs!"
"Just a username, please.","Hanya nama pengguna saja."
"Next","Berikut"
"%s is your new username","%s adalah nama pengguna baru Anda"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Tetapi, sebelum Anda mulai menggunakan nama pengguna baru Anda, <strong>Anda harus mengaktifkannya</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Centang kotak masuk Anda pada <strong>%s</strong> dan klik taut yang diberikan."
"If you do not activate your username within two days, you will have to sign up again.","Jika Anda tidak mengaktifkan nama pengguna Anda dalam waktu dua hari, Anda harus mendaftar lagi."
"Signup","Daftar"
"Congratulations! Your new site, %s, is almost ready.","Selamat! Situs baru anda, %s, sudah hampir siap."
"But, before you can start using your site, <strong>you must activate it</strong>.","Tetapi, sebelum Anda dapat mulai menggunakan situs Anda, <strong>Anda harus mengaktifkannya</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Jika Anda tidak mengaktifkan situs Anda dalam waktu dua hari, Anda harus mendaftar lagi."
