"New password","새 비밀번호"
"Confirm new password","새 비밀번호 확인"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","힌트: 비밀번호는 적어도 7자 이상이어야 합니다. 더 강한 비밀번호를 만드려면, 대소문자를 섞어서 적거나 숫자, ! \" ? & %s ^ &amp; ) 등의 특수문자를 사용하십시오."
"Registration Form","등록 양식"
"Register For This Site","이 블로그에 등록하기"
"A password will be e-mailed to you.","암호가 이메일로 전송되었습니다."
"Password Lost and Found","암호 분실 및 찾기"
"Lost your password?","암호를 잃어버렸나요?"
"You have logged in successfully.","성공적으로 로그인하였습니다."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>오류</strong>: 브라우저에서 쿠키가 금지되었거나 쿠키를 지원하지 않습니다. 워드프레스를 사용하려면 <a href='http://www.google.com/cookies.html'>쿠키를  사용</a>해야 합니다."
"You are now logged out.","로그아웃 하셨습니다."
"User registration is currently not allowed.","현재 사용자 등록이 허용되지 않습니다."
"Check your e-mail for the confirmation link.","확인 링크를 보려면 먼저 전자우편을 확인해 보세요."
"Check your e-mail for your new password.","새 암호를 보려면 먼저 전자우편을 확인해 보세요."
"Registration complete. Please check your e-mail.","등록이 완료 되었습니다. 전자우편을 확인하십시오."
"Your session has expired. Please log-in again.","세션이 만료되었습니다. 다시 로그인하세요."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>워드프레스를 성공적으로 업데이트 했습니다!</strong> 굉장한 것을 경험하려면 다시 로그인해주세요."
"This action has been disabled by the administrator.","관리자에 의해 이 작업은 취소되었습니다."
"Slow down cowboy, no need to check for new mails so often!","서두르지 마세요, 새로운 메일을 자주 확인할 필요가 없습니다!"
"There doesn&#8217;t seem to be any new mail.","새로운 메일이 없는 것 같습니다."
"Author is %s","글 쓴이는 %s입니다."
"<strong>Author:</strong> %s","<strong>글쓴이:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>글 제목:</strong> %s"
"Oops: %s","이크: %s"
"Mission complete. Message <strong>%s</strong> deleted.","임무가 완료됐습니다. <strong>%s</strong> 메시지가 삭제됐습니다."
"Site Name:","사이트 이름:"
"Site Domain:","사이트 도메인:"
"sitename","사이트 이름"
"domain","도메인"
"Your address will be %s.","주소는 %s가 될 것입니다."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","최소한 4글자 이상이어야하고 글자와 숫자만 가능합니다. 변경될 수 없으니 주의해서 선택하세요."
"Site Title:","사이트 제목:"
"Privacy:","프라이버시:"
"Allow search engines to index this site.","검색엔진이 이 사이트를 검색목록에 포함하도록 허용합니다."
"Yes","예"
"No","아니오"
"(Must be at least 4 characters, letters and numbers only.)","(최소 4글자 이상, 글자와 숫자만.)"
"Email&nbsp;Address:","이메일l&nbsp;주소:"
"We send your registration email to this address. (Double-check your email address before continuing.)","이 주소로 가입 이메일을 보냅니다. (계속하기 전에 다시 한번 이메일 주소를 확인하세요.)"
"Get <em>another</em> %s site in seconds","<em>다른</em> %s 사이트를 가져오기"
"There was a problem, please correct the form below and try again.","문제가 있습니다. 아래 양식을 수정하고 다시 시도하세요."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","%s님 다시 방문해 주서서 감사합니다. 아래의 양식을 작성해 주시면 <strong>귀하의 계정에 다른 사이트를 추가할 수</strong> 있습니다. 개설할 수 있는 사이트는 제한이 없으며 원하는대로 사이트를 만들 수 있습니다. 하지만 책임감을 갖고 글을 올려주세요."
"Sites you are already a member of:","이미 멤버인 사이트들:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","만약 좋은 사이트 도메인을 사용하지 않을거라면, 새로운 사용자를 위해 놔두세요. 지금 그걸 가지세요!"
"Create Site","사이트 생성"
"The site %s is yours.","사이트 %s 은(는) 당신 것입니다."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a>은 새 사이트입니다. 기존의 비밀번호를 사용하여 &#8220;%s&#8221;로 <a href=\"%s\">로그인</a>하세요 ."
"Get your own %s account in seconds","몇 초만에 자신만의 %s 계정을 만드세요"
"Gimme a site!","사이트를 주세요!"
"Just a username, please.","사용자명만 입력하세요."
"Next","다음"
"%s is your new username","%s 은(는) 새로운 사용자명입니다."
"But, before you can start using your new username, <strong>you must activate it</strong>.","하지만, 새로운 사용자명을 사용하기 전에 <strong>활성화해야 합니다</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","<strong>%s</strong>의 받은 편지함을 확인하고 주어진 링크를 클릭하세요."
"If you do not activate your username within two days, you will have to sign up again.","2 일 이내에 사용자명을 활성화하지 않으면, 다시 가입해야합니다."
"Signup","가입"
"Congratulations! Your new site, %s, is almost ready.","축하합니다! 새로운 사이트인 %s 이(가) 거의 준비되었습니다."
"But, before you can start using your site, <strong>you must activate it</strong>.","하지만, 사이트를 사용하기 전에 <strong>활성화해야 합니다</strong>."
"If you do not activate your site within two days, you will have to sign up again.","2 일 이내에 사이트를 활성화하지 않으면, 다시 가입해야합니다."
"Still waiting for your email?","여전히 이메일을 기다리고 있습니까?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","만약 아직 이메일을 받지 못했다면, 할 수 있는 것들이 있습니다:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","좀 더 기다려보세요. 우리의 통제를 벗어나 가끔씩 이메일이 늦게 전송될 때가 있습니다."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","스팸 편지함을 확인해보세요. 가끔씩 이메일이 그 곳으로 전송되는 경우가 있습니다."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","이메일 주소를 제대로 입력하셨습니까? %s (으)로 입력하셨습니다. 만약 이 주소가 틀렸다면 이메일을 받지 못합니다."
"all","모두"
"none","없음"
"blog","블로그"
"user","사용자"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","안녕하세요, 사이트 관리자님! %s 의 가입을 허용하고 있습니다. 가입을 변경하거나 중지시키려면 <a href=\"%s\">옵션 페이지</a>로 이동하세요."
"Registration has been disabled.","가입이 중지되었습니다."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","먼저 <a href=\"%s\">로그인</a>을 해야 합니다. 그런 후에 새로운 사이트를 생성할 수 있습니다."
"User registration has been disabled.","사용자 등록이 중지되어 있습니다."
"Site registration has been disabled.","사이트 등록이 중지되어 있습니다."
"Sorry, new registrations are not allowed at this time.","죄송합니다. 새 회원가입이 지금은 허용되지 않습니다."
"You are logged in already. No need to register again!","이미 로그인했습니다. 다시 등록할 필요가 없습니다!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>찾는 사이트인 <strong>%s</strong>은(는) 존재하지 않지만 지금 생성할 수 있습니다!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>찾는 사이트인 <strong>%s</strong>은(는) 존재하지 않습니다.</em></p>"
"Learn word","단어 알아보기"
"Insert Page Break","페이지 자름 삽입"
"Types","타입"
"Lower alpha","소문자 알파벳"
"Lower greek","소문자 그리스 글자"
"Lower roman","소문자 로마자"
"Upper alpha","대문자 알파벳"
"Upper roman","대문자 로마자"
"Circle","원"
"Disc","디스크"
"Square","정사각형"
"Rich Text Area","서식있는 텍스트 영역"
"Words:","단어들:"
"Styles","스타일"
"Font size","글꼴 크기"
"Font family","글꼴계열"
"Format","형식"
"Paragraph","문단"
"Address","주소"
"Preformatted","정형화된 형식"
"Heading 1","제목 1"
"Heading 2","제목 2"
"Heading 3","제목 3"
"Heading 4","제목 4"
"Heading 5","제목 5"
"Heading 6","제목 6"
"Blockquote","인용"
"Code","코드"
"Code sample","코드 샘플"
"Definition term","정의-용어"
"Definition description","정의-설명"
"Underline","밑줄"
"Strikethrough (Alt + Shift + D)","취소선 (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","좌측 정렬 (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","중앙 정렬 (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","오른쪽 정렬 (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","전체 정렬 (Alt + Shift + J)"
"Outdent","내어쓰기"
"Indent","들여쓰기"
"Undo (Ctrl + Z)","되돌리기 (Ctrl + Z)"
"Redo (Ctrl + Y)","다시하기 (Ctrl + Y)"
"Cleanup messy code","메시 코드 제거"
"Edit HTML Source","HTML 소스 편집"
"Subscript","아래첨자"
"Superscript","위첨자"
"Insert horizontal ruler","수평선 삽입"
"Remove formatting","포매팅 제거"
"Select text color","텍스트 색상 선택"
"Select background color","배경색상 선택"
