"New password","Nieuw wachtwoord"
"Confirm new password","Nieuw wachtwoord bevestigen"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Tip: Je wachtwoord moet minimaal zeven tekens lang zijn. Om het sterker te maken, gebruik je hoofd en kleine letters, cijfers en tekens als ! \" ? $ %s ^ &amp; )."
"Registration Form","Registratieformulier"
"Register For This Site","Registreer je voor deze site"
"A password will be e-mailed to you.","Je ontvangt een wachtwoord per e-mail."
"Password Lost and Found","Wachtwoord kwijt en gevonden"
"Lost your password?","Wachtwoord vergeten?"
"You have logged in successfully.","Je bent succesvol ingelogd."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>MISLUKT</strong>: Je browser ondersteunt geen cookies of ze worden geblokkeerd. Je moet <a href='http://www.google.nl/cookies.html'>cookies inschakelen</a> om WordPress te kunnen gebruiken."
"You are now logged out.","Je bent nu uitgelogd."
"User registration is currently not allowed.","Gebruikersregistratie is momenteel niet toegestaan."
"Check your e-mail for the confirmation link.","Controleer je e-mail voor de bevestigingslink."
"Check your e-mail for your new password.","Controleer je e-mail voor je nieuwe wachtwoord."
"Registration complete. Please check your e-mail.","Registratie afgerond. Controleer je e-mail."
"Your session has expired. Please log-in again.","Je sessie is verlopen. Probeer opnieuw in te loggen."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Je hebt WordPress succesvol bijgewerkt!</strong> Log opnieuw in om de grootheid te ervaren."
"This action has been disabled by the administrator.","Deze handeling is uitgeschakeld door de beheerder."
"Slow down cowboy, no need to check for new mails so often!","Rustig aan vriend, je hoeft je mail niet zo vaak te controleren!"
"There doesn&#8217;t seem to be any new mail.","Het lijkt erop dat er geen nieuwe e-mail is."
"Author is %s","Auteur is %s"
"<strong>Author:</strong> %s","<strong>Auteur:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Titel:</strong> %s"
"Oops: %s","Oeps: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Missie geslaagd. Bericht <strong>%s</strong> verwijderd."
"Site Name:","Sitenaam:"
"Site Domain:","Site domein:"
"sitename","sitenaam"
"domain","domein"
"Your address will be %s.","Je adres wordt %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Het moeten minstens 4 karakters zijn, alleen letters en cijfers, Het kan niet veranderd worden, dus wees voorzichtig!"
"Site Title:","Site titel:"
"Allow search engines to index this site.","Zoekmachines toestaan deze site te indexeren."
"Yes","Ja"
"No","Nee"
"(Must be at least 4 characters, letters and numbers only.)","(Moet tenminste 4 karakters bevatten, alleen letters en cijfers zijn toegestaan.)"
"Email&nbsp;Address:","E-mail&nbsp;adres:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Het registratiebericht is verstuurd naar dit e-mailadres. (Controleer het adres nog een keer voordat je doorgaat.)"
"Get <em>another</em> %s site in seconds","Verkrijg een <em>andere</em> %s website in enkele seconden"
"There was a problem, please correct the form below and try again.","Er was een probleem, corrigeer onderstaand formulier en probeer opnieuw."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Welkom terug, %s. Met behulp van het onderstaande formulier kan je <strong>een nieuwe website toevoegen aan je account.</strong>. Er is geen limiet voor het aantal website, dus ga je gang."
