"Invalid user ID.","Nieprawidłowy identyfikator użytkownika."
"Random Order","Losowa kolejność"
"Caption this image&hellip;","Podpisz ten obrazek&hellip;"
"%d selected","%d wybrano"
"Insert from URL","Dodaj adres URL"
"Set Featured Image","Ustaw ikonę wpisu"
"Random","Losowy"
"No items found.","Nie znaleziono żadnych elementów."
"Add to Gallery","Dodaj do galerii"
"Reverse order","Odwrotna kolejność"
"Set featured image","Ustaw ikonę wpisu"
"Deselect","Odznacz"
"Sorry, that file cannot be edited.","Przepraszamy, ale tego pliku nie można edytować."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Twoja przeglądarka ogranicza przesyłanie dużych plików za pomocą zaawansowanego skryptu. Proszę użyć <a href=\"%s\" target=\"%s\">skryptu opartego o HTML</a> dla plików o wielkości ponad 100MB."
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Zamierzasz nieodwracalnie usunąć ten element \nKliknij 'Anuluj' aby zatrzymać, 'OK' aby usunąć."
"Delete Permanently","Usuń na zawsze"
"Upload Limit Exceeded","Przekroczono limit przesyłania plików"
"Maximum upload file size: %d%s.","Maksymalny rozmiar wysyłanego pliku to: %d%s."
"Dismiss Errors","Ignoruj błędy"
"Error","Błąd "
"No editor could be selected.","Nie można wybrać edytora."
"Uploading","Ładowanie"
"Manage Images","Zarządzaj obrazkami"
"Image <span class=\"count\">(%s)</span>","Obrazki <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Obrazki <span class=\"count\">(%s)</span>"
"Manage Audio","Zarządzaj plikami audio"
"Audio <span class=\"count\">(%s)</span>","Pliki dżwiękowe <span class=\"count\">(%s)</span>"
"Video","Film"
"Manage Video","Zarządzaj filmami"
"Video <span class=\"count\">(%s)</span>","Filmy <span class=\"count\">(%s)</span>"
"Insert into page","Wstaw na stronę"
"Uploaded to this page","Załadowano na stronę"
"All media items","Wszystkie elementy media"
"Uploaded to this post","Załadowano do wpisu"
"Audio","Plik dźwiękowy"
"&#8592; Return to library","&#8592;  Wróć do biblioteki"
"Custom URL","Własny adres URL"
"Attachment Details","Szczegóły załączonego pliku"
"Alt Text","Text alternatywny"
"Columns","Kolumny"
"Drag and drop to reorder images.","Przeciągnij aby zmienić kolejność"
"Large","Duży"
"Attachment Display Settings","Ustawienia wyświetlania załączonego pliku"
"Gallery Settings","Ustawienia galerii"
"Upload Images","Dodaj obrazki"
"&#8592; Cancel Gallery","&#8592; Anuluj galerię"
"WordPress &rsaquo; Success","WordPress &rsaquo; Sukces"
"Drop files anywhere to upload","Upuść pliki aby je dodać"
"Upload Files","Dodaj pliki"
"Insert gallery","Wstaw galerie"
"Drop files to upload","Upuść tutaj pliki aby je dodać"
"Media Library","Biblioteka mediów"
"Create Gallery","Utwórz galerię"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Aby aktywować konto użytkownika, kliknij poniższy odnośnik:\n \n %s\n \n Po aktywacji otrzymasz *kolejną wiadomość* z nazwą uzytkownika."
"Already Installed","Już zainstalowano"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Wygląda na to, że WordPress był już zainstalowany. Aby zainstalować ponownie, usuń tabele w bazie MySQL."
"Taxonomies cannot exceed 32 characters in length","Taksonomie nie mogą być dłuższe niż 32 znaki"
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nowy serwis: %s\nURL: %s\nZdalne IP: %s\n\nWyłącz powiadomienie: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nowy użytkownik: %s\nZdalne IP: %s\n\nWyłączy te powiadomienie: %s"
"Link To","Odnośnik do"
"Attachment Page","Strona załącznika"
"Media File","Plik multimedialny"
"Describe this video&hellip;","Opis filmu&hellip; "
"Describe this audio file&hellip;","Opis pliku dźwiękowego&hellip; "
"Describe this media file&hellip;","Opis pliku multimedialnego&hellip; "
"Update gallery","Aktualizuj galerię"
"The requested user does not exist.","Przepraszamy, ale nie ma takiego użytkownika."
"Please enter a valid email address.","Proszę wprowadzić prawidłowy adres e-mail."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>BŁĄD</strong>: Użytkownik już istnieje. Proszę wybrać inną nazwę użytkownika."
"File doesn&#8217;t exist?","Plik nie istnieje?"
"File is not an image.","Plik nie jest obrazkiem."
"Could not read image size.","Nie rozpoznano wielkości obrazka."
"Image resize failed.","Przepraszamy, ale nie udało się zmienić rozmiaru obrazka."
"Image crop failed.","Przepraszamy, ale nie udało się przyciąć obrazka."
"Image rotate failed.","Przepraszamy, ale nie udało się obrócić obrazka."
"Image flip failed.","Przepraszamy, ale nie udało się odbicie obrazka."
"Image Editor Save Failed","Przepraszamy, ale nie udało się zapisać."
"Add New","Dodaj nowy"
