"New password","Nova senha"
"Confirm new password","Confirmar nova senha"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Dica: Sua senha deve ter pelo menos sete caracteres. Para torná-la mais segura, use letras maiúsculas e minúsculas, números e símbolos como ! \" ? $ %s ^ &amp; )."
"Registration Form","Formulário de registro"
"Register For This Site","Registrar-se nesse site"
"A password will be e-mailed to you.","Uma senha será enviada para seu email."
"Password Lost and Found","Recuperar senha"
"Lost your password?","Perdeu a senha?"
"You have logged in successfully.","Login feito com sucesso."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>ERRO</strong>: Os cookies estão bloqueados ou não são suportados pelo seu navegador. Você deve <a href='http://www.google.com/cookies.html'>ativar cookies</a> para usar o WordPress."
"You are now logged out.","Você fez o logout agora."
"User registration is currently not allowed.","No momento, o registro de usuários está desabilitado."
"Check your e-mail for the confirmation link.","Confira o link de confirmação em seu email."
"Check your e-mail for your new password.","Confira a nova senha em seu email."
"Registration complete. Please check your e-mail.","Registro concluído. Confira seu email."
"Your session has expired. Please log-in again.","A sua sessão expirou. Faça o login novamente."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Você atualizou o WordPress com sucesso!</strong> Faça o login novamente para experimentar!"
"This action has been disabled by the administrator.","Esta ação foi desativada pelo administrador."
"Slow down cowboy, no need to check for new mails so often!","Vamos com calma, não é necessário conferir se há novas mensagens tantas vezes!"
"There doesn&#8217;t seem to be any new mail.","Parece que não há nenhuma mensagem nova."
"Author is %s","O autor é %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Título publicado:</strong> %s"
"Mission complete. Message <strong>%s</strong> deleted.","Missão cumprida. Mensagem <strong>%s</strong> excluída."
"Site Name:","Nome do Site:"
"Site Domain:","Domínio do Site:"
"sitename","nomedosite"
"domain","domínio"
"Your address will be %s.","Seu endereço será %s"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Deve ter pelo menos 4 caracteres, apenas letras e números. Não poder ser mudada, escolha com cuidado!"
"Site Title:","Título do Site:"
"Privacy:","Privacidade:"
"Allow search engines to index this site.","Permitir mecanismos de pesquisa indexarem este site."
"Yes","Sim"
"No","Não"
"(Must be at least 4 characters, letters and numbers only.)","(Deve conter pelo menos 4 caracteres, somente letras e números.)"
"Email&nbsp;Address:","Endereço de email:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Será enviado um email de confirmação de registro para este endereço. (Confira novamente seu endereço de email antes de continuar)"
"Get <em>another</em> %s site in seconds","Obtenha <em>outro</em> site %s em segundos"
"There was a problem, please correct the form below and try again.","Houve um erro, corrija o formulário abaixo e tente novamente."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Seja bem-vindo de volta, %s. Ao preencher o formulário abaixo, você pode <strong>adicionar outro site a sua conta</strong>. Não há limites para o número de sites que você pode ter, portanto crie quantos você quiser, mas escreva com responsabilidade!"
"Sites you are already a member of:","Sites dos quais você é membro:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Se você não vai usar um bom domínio, deixe-o para um novo usuário. Agora vamos lá!"
"Create Site","Criar Site"
"The site %s is yours.","O site %s é seu."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> é seu novosite. Faça <a href=\"%s\">Log in</a> como &#8220;%s&#8221; usando sua senha existente."
"Get your own %s account in seconds","Obtenha sua conta %s em segundos"
"Gimme a site!","Me dá um site!"
"Just a username, please.","Apenas um nome de usuário."
"Next","Seguinte"
"%s is your new username","%s é seu novo nome de usuário"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Mas antes de começar a usar seu nome de usuário, <strong>você deve ativá-lo</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Confira sua caixa de entrada em <strong>%s</strong> e clique no link apresentado."
"If you do not activate your username within two days, you will have to sign up again.","Se você não ativar seu nome de usuário dentro de dois dias, você terá que se registrar novamente."
"Signup","Registrar"
"Congratulations! Your new site, %s, is almost ready.","Parabéns! O seu novo site, %s, está quase pronto."
"But, before you can start using your site, <strong>you must activate it</strong>.","Mas, antes que você possa começar a usar seu site, <strong>você deve ativá-lo</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Se você não ativar seu site dentro de dois dias, você terá que se registrar novamente."
"Still waiting for your email?","Ainda esperando seu email?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Se você ainda não recebeu o seu email ainda, há algumas coisas que você pode fazer:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Espere um pouco mais. Às vezes, a entrega de email pode ser atrasada por processos fora de nosso controle."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Confira a lixeira ou pasta de spams de seu cliente de email. Às vezes os emails podem ir para estas pastas por engano."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Você digitou um email corretamente? Você digitou %s, se este email estiver incorreto você não receberá a mensagem."
"all","tudo"
"none","nenhum"
"user","usuário"
