"Invalid user ID.","Neplatné ID používateľa."
"Random Order","Náhodné poradie"
"Caption this image&hellip;","Titulok pre obrázok&hellip;"
"%d selected","vybrané\" %d"
"Insert from URL","Vložiť z URL"
"Set Featured Image","Nastaviť prezentačný obrázok"
"Random","Náhodný"
"No items found.","Neboli nájdené žiadne položky."
"Add to Gallery","Pridať do galérie"
"Reverse order","Opačné poradie"
"Set featured image","Nastaviť prezentačný obrázok"
"Deselect","Zrušiť označenie"
"Sorry, that file cannot be edited.","Prepáčte,  tento súbor nemôže byť upravený."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Váš prehliadač má určité obmedzenia pri odosielaní veľkých súborov pomocou nahrávania viacerých súborov naraz. Prosím, použite <a href=\"%s\" target=\"%s\">Nahrávač prehliadača</a> pre súbory väčšie ako 100 MB."
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Práve sa chystáte navždy zmazať túto položku. \nStlačte 'Zrušiť' pre prerušenie 'OK' pre dokončenie."
"Delete Permanently","Zmazať navždy"
"Upload Limit Exceeded","Prekročený limit nahrávania"
"Maximum upload file size: %d%s.","Maximálna veľkosť súboru pre nahratie: %d%s."
"Dismiss Errors","Skryť chyby"
"Error","Chyba"
"No editor could be selected.","Nebol vybratý žiadny editor."
"Uploading","Nahrávanie"
"Manage Images","Spravovať obrázky"
"Image <span class=\"count\">(%s)</span>","Obrázok <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Obrázky <span class=\"count\">(%s)</span>"
"Manage Audio","Spravovať audio"
"Manage Video","Spravovať  video"
"Video <span class=\"count\">(%s)</span>","Videá <span class=\"count\">(%s)</span>"
"Insert into page","Vlož na stránku"
"Uploaded to this page","Nahrané na aktuálnu stránku"
"All media items","Všetky multimediálne súbory"
"Uploaded to this post","Nahrané do aktuálneho príspevku"
"&#8592; Return to library","&#8592; Návrat do knižnice"
"Custom URL","Vlastná URL"
"Attachment Details","Podrobnosti prílohy"
"Alt Text","Alternatívny text"
"Columns","Stĺpce"
"Drag and drop to reorder images.","Presuň metódou \"Ťahaj a pusť\" pre zmenu poradia obrázkov."
"Large","Veľký"
"Attachment Display Settings","Nastavenia zobrazenia príloh"
"Gallery Settings","Nastavenia galérie"
"Upload Images","Nahrať obrázky"
"&#8592; Cancel Gallery","&#8592; Stornovať galériu"
"WordPress &rsaquo; Success","WordPress &rsaquo; Úspech"
"Drop files anywhere to upload","Pre nahratie \"pusť\" súbory hocikde"
"Upload Files","Nahrať súbory"
"Insert gallery","Vložiť galériu"
"Drop files to upload","Pusť súbory pre nahratie"
"Media Library","Knižnica médií"
"Create Gallery","Vytvoriť galériu"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Ak chcete aktivovať svoj ​​používateľský účet, kliknite prosím na nasledujúci odkaz:\n\n%s\n\nPo aktivácii dostanete email s vašimi prihlasovacími údajmi."
"Already Installed","Už nainštalované"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","WordPress už máte nainštalovaný. Ak ho chcete preinštalovať, vymažte prosím najprv staré tabuľky z databázy."
"Taxonomies cannot exceed 32 characters in length","Taxonómie nesmú presiahnuť dĺžku 32 znakov"
