"New password","Novo geslo"
"Confirm new password","Potrdi novo geslo"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Namig: Geslo naj bo dolgo najmanj 7 znakov. Za boljšo zaščito uporabi velike in male črke, številke in simbole kot so ! \" ? $ %s ^ &amp; )."
"Registration Form","Obrazec za registracijo"
"Register For This Site","Registracija na tem spletišču"
"A password will be e-mailed to you.","Geslo boste prejeli po e-pošti."
"Password Lost and Found","Pomoč za pozabljeno geslo"
"Lost your password?","Ste pozabili geslo?"
"You have logged in successfully.","Prijava je bila uspešna."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>NAPAKA</strong>: Piškotki so blokirani ali niso podprti v vašem brskalniku. Za uporabo WordPress-a morate <a href='http://www.google.com/cookies.html'>dovoliti sprejemanje piškotkov</a>."
"You are now logged out.","Sedaj niste več prijavljeni."
"User registration is currently not allowed.","Registracija uporabnikov trenutno ni dovoljena."
"Check your e-mail for the confirmation link.","Preverite vaš e-poštni nabiralnik za potrditveni naslov."
"Check your e-mail for your new password.","Preverite vaš e-poštni nabiralnik za vaše novo geslo."
"Registration complete. Please check your e-mail.","Registracija končana. Prosim, preverite vaš e-poštni nabiralnik."
"Your session has expired. Please log-in again.","Vaša seja je potekla. Prosim, prijavite se ponovno."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Uspešno ste posodobili WordPress!</strong> Prosim, da se ponovno prijavite, da izkusite kako super je."
"This action has been disabled by the administrator.","Dejanje je bilo izklopljeno s strani admin uporabnika."
"Slow down cowboy, no need to check for new mails so often!","Počasi, ni potrebe za preverjanje pošte tako pogosto!"
"There doesn&#8217;t seem to be any new mail.","Izgleda, kot da ni nove pošte."
"Author is %s","Avtor je %s"
"<strong>Author:</strong> %s","<strong>Avtor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Objavljen naslov:</strong> %s"
"Oops: %s","Ops: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Misija končana. Sporočilo <strong>%s</strong> je izbrisano."
"Site Name:","Ime Spletišča:"
"Site Domain:","Domena Spletišča:"
"sitename","ime-spletisca"
"domain","domena"
"Your address will be %s.","Vaš naslov bo %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Mora vsebovati vsaj 4 znaka, črke ali samo številke. Izberite previdno, ker ga ni mogoče spremeniti!"
"Site Title:","Ime Spletišča:"
"Privacy:","Zasebnost:"
"Allow search engines to index this site.","Dovoli spletnim iskalnikom, da indeksirajo to spletišče."
"Yes","Da"
"No","Ne"
"(Must be at least 4 characters, letters and numbers only.)","(Mora vsebovati vsaj 4 znake, samo črke ali številke)"
"Email&nbsp;Address:","E-poštni naslov:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Vašo registracijsko e-pošto pošljemo na ta naslov. (Preverite dvakrat svojo e-pošto preden nadaljujete.)"
"Get <em>another</em> %s site in seconds","Ustvarite <em>še eno</em> %s spletišče v sekundah"
"There was a problem, please correct the form below and try again.","Zgodila se na napaka, prosim popravite spodnji obrazec in poskusite znova."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Dobrodošli nazaj %s. Če izpolnite spodnji obrazec lahko <strong>dodate še eno stran k vašemu računu</strong>. Ni omejitev koliko strani imate, tako da jih ustvarite kolikor želite ampak pišite odgovorno!"
"Sites you are already a member of:","Spletišča, katerih ste že član:"
