"Activation Key Required","Кључ за активирање је неопходан"
"Activation Key:","Кључ за активирање:"
"Activate","Укључи"
"Your account is now active!","Ваш налог је сада активан!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Ваш налог је активиран. Сада можете да се <a href=\"%s\">пријавите</a> на веб место користећи своје изабрано корисничко име &#132;%s&#147;. Молимо вас да проверите своје поштанско сандуче за %s за своју лозинку и смернице за пријављивање. Уколико не примите е-пошту, молимо вас да проверите међу непожељним порукама. Уколико и даље не примите поруку у року од једног сата, можете <a href=\"%s\">ресетовати своју лозинку</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Ваше веб место на <a href=\"%s\">%s</a> је сада активно. Можете се сада пријавити на своје веб место користећи изабрано корисничко име &#132;%s&#147;. Молимо вас да проверите своје поштанско сандуче за %s за своју лозинку у смернице за пријављивање. Уколико не примите е-пошту, молимо вас да проверите међу непожељним порукама. Уколико и даље не примите поруку у року од једног сата, можете <a href=\"%s\">ресетовати своју лозинку</a>."
"An error occurred during the activation","Десила се грешка приликом активирања"
"Username:","Корисничко име:"
"Password:","Лозинка:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Ваш налог је сада активиран. <a href=\"%s\">Видите своје веб место</a> или се <a href=\"%s\">пријавите</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Ваш налог је сада активиран. <a href=\"%s\">Пријавите се</a> или идите назад на <a href=\"%s\">почетну страницу</a>."
"Sorry, comments are closed for this item.","Жао нам је, коментари за ову ставку су затворени."
"Sorry, you must be logged in to post a comment.","Жао нам  је, да би поставили коментар, морате бити пријављени."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>ГРЕШКА</strong>: молимо вас попуните потребна поља (име, е-пошту)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ГРЕШКА</strong>: молимо вас да унесете исправну адресу е-поште."
"<strong>ERROR</strong>: please type a comment.","<strong>ГРЕШКА</strong>: молимо вас да унесете коментар."
"Akismet %s requires WordPress 3.0 or higher.","Акисмет %s захтева Вордпрес 3.0 или новији."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Молимо вас да <a href=\"%s\">ажурирате Вордпрес</a> у тренутно издање или да <a href=\"%s\">пређете на издање 2.4 Акисметовог додатка</a>."
"Comment History","Историја коментара"
"Settings","Подешавања"
"Cheatin&#8217; uh?","Вараш, а?"
"Your key has been cleared.","Ваш кључ је избрисан."
"Your key has been verified. Happy blogging!","Ваш кључ је потврђен. Срећно блоговање!"
"The key you entered is invalid. Please double-check it.","Кључ који сте унели је изгледа неисправан. Проверите га."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Кључ који сте унели не може бити потврђен зато што веза са akismet.com не може бити успостављена. Молимо вас да проверите подешавања вашег сервера."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Постојао је проблем приликом успостављања везе са Акисметовим сервером. Молимо вас да проверите подешавања сервера."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Молимо вас да унесете API кључ. (<a href=\"%s\" style=\"color:#fff\">Преузмите свој кључ.</a>)"
"This key is valid.","Кључ је исправан."
"This key is invalid.","Кључ је неисправан."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Кључ испод је раније био потврђен али веза са akismet.com тренутно не може бити успостављена. Молимо вас да проверите подешавања вашег сервера."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","URL Вордпресовог почетка %s је неисправан. Молимо вас да поправите <a href=\"%s\">могућност почетка</a>."
"Options saved.","Могућности су сачуване."
"Akismet Configuration","Подешавања Акисмета"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Успех у отварању налога!</strong> Молимо вас да проверите своју е-пошту за свој Акисметов API кључ и унесите га испод."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","За многе људе, <a href=\"%s\">Акисмет</a> ће веома смањити или чак у потпуности уклонити непожељне коментаре и повратне везе које добију на свом веб месту. Уколико се неки ипак провуче, једноставно га означите као \"непожељан\" у окриљу за уређивање и Акисмет ће учити од грешки. Уколико још увек немате API кључ, можете добити један на <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Акисметов API кључ"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Шта је ово?</a>"
"Why might my key be invalid?","Зашто мој кључ може бити неисправан?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Ово може значити једну од две ствари: или сте унели погрешан кључ или додатак није успео да успостави везу са Акисмет серверима, што је често изазвано проблемом са вашим домаћином."
"Auto-delete spam submitted on posts more than a month old.","Аутоматски обриши непожељне коментаре на чланцима старијим од једног месеца."
"Show the number of comments you've approved beside each comment author.","Покажи број коментара које сте прихватили поред сваког аутора коментара."
"Update options &raquo;","Ажурирај могућности &raquo;"
"Server Connectivity","Везе сервера"
"Network functions are disabled.","Функције мреже су искључене."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Ваш домаћин сервера или његов управник су искључили PHP-ову функцију <code>fsockopen</code> или <code>gethostbynamel</code>.  <strong>Акисмет не може да исправно ради док ово није исправљено.</strong>  Молимо вас да контактирате домаћина свог сервера или управника ватреног зида и дате им <a href=\"%s\" target=\"_blank\">ову информацију о Акисметовим системским захтевима</a>."
"Unable to reach some Akismet servers.","Није могуће доћи до неких Акисметових сервера."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Проблем са мрежом или ватрени зид блокирају неке везе са вашег веб сервера према Akismet.com.  Акисмет ради али ово може да изазове проблеме током времена мрежне закрчености. Молимо вас да контактирате домаћина вашег сервера или управника ватреног зида и дате им <a href=\"%s\" target=\"_blank\">ову информацију о Акисмету и ватреним зидовима</a>."
"Unable to reach any Akismet servers.","Није могуће доћи до било ког Акисметовог сервера."
