"New password","Nytt lösenord"
"Confirm new password","Bekräfta nytt lösenord"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Tips: Ditt lösenord bör innehålla minst sju tecken. För att göra det säkrare använd stora som små bokstäver, siffror och symboler så som ! \" ? $ %s ^ &amp; )."
"Registration Form","Registreringsformulär"
"Register For This Site","Registrera dig på den här webbplatsen"
"A password will be e-mailed to you.","Ett lösenord kommer att skickas till dig per e-post."
"Password Lost and Found","Ändra lösenord"
"Lost your password?","Glömt lösenordet?"
"You have logged in successfully.","Du har loggats in."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>FEL</strong>: Cookies är blockerade eller så kan inte din webbläsare hantera dom. Du måste <a href='http://www.google.com/cookies.html'>aktivera cookies</a> för att använda WordPress."
"You are now logged out.","Du är nu utloggad."
"User registration is currently not allowed.","Registreringsfunktionen är avstängd just nu."
"Check your e-mail for the confirmation link.","Kolla efter bekräftelselänken i din e-post."
"Check your e-mail for your new password.","Kolla efter ditt nya lösenord i din e-post."
"Registration complete. Please check your e-mail.","Registreringen är slutförd. Kontrollera nu din e-post."
"Your session has expired. Please log-in again.","Sessionen har upphört. Vänligen logga in igen."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>WordPress har uppdaterats!</strong> Logga in igen för att ta del av allt grymt som erbjuds."
"This action has been disabled by the administrator.","Den här åtgärden har inaktiverats av administratören."
"Slow down cowboy, no need to check for new mails so often!","Ta det lite lungt, du behöver inte kolla efter nya mail så ofta!"
"There doesn&#8217;t seem to be any new mail.","Det verkar inte finnas någon ny e-post."
"Author is %s","Författare är %s"
"<strong>Author:</strong> %s","<strong>Författare:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Postad titel:</strong> %s"
"Mission complete. Message <strong>%s</strong> deleted.","Klart. Meddelande <strong>%s</strong> raderat."
"Site Name:","Webbplatsnamn:"
"Site Domain:","Webbplatsdomän:"
"sitename","webbplatsnamn"
"domain","domän"
"Your address will be %s.","Din adress kommer att bli %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Måste bestå av minst 4 tecken, endast bokstäver och siffror. Detta kan inte ändras, så välj varsamt!"
"Site Title:","Titel för webbplats:"
"Privacy:","Integritet:"
"Allow search engines to index this site.","Tillåt sökmotorer att indexera denna webbplats."
"Yes","Ja"
"No","Nej"
"(Must be at least 4 characters, letters and numbers only.)","(Måste bestå av minst 4 tecken, endast bokstäver och siffror.)"
"Email&nbsp;Address:","E-postadress:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Vi skickar ditt registreringsmail till denna adress. (Kontrollera att rätt e-postadressen är angiven innan du fortsätter.)"
"Get <em>another</em> %s site in seconds","Skapa <em>en till</em> %s webbplats på bara några sekunder"
"There was a problem, please correct the form below and try again.","Ett fel har uppstått. Var vänlig kontrollera formuläret nedan och försök igen."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Välkommen tillbaka, %s. Genom att fylla i formuläret nedan så kan du <strong>skapa flera webbplatser för ditt konto</strong>. Det finns ingen gräns för hur många webbplatser du kan skapa. Publicera material ansvarsfullt."
"Sites you are already a member of:","Webbplatser som du redan är medlem på:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Om du inte ska använda den här webbplatsdomänen, låt någon annan få möjligheten att använda den."
"Create Site","Skapa webbplats"
"The site %s is yours.","Webbplatsen %s är din."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> är din nya webbplats.  <a href=\"%s\">Logga in</a> som &#8221;%s&#8221; med ditt nuvarande lösenord."
"Get your own %s account in seconds","Skapa ett eget %s konto på bara några sekunder"
"Gimme a site!","Ge mig en webbplats!"
"Just a username, please.","Bara ett användarnamn, tack."
"Next","Nästa"
"%s is your new username","%s är ditt nya användarnamn"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Men, innan du kan börja använda ditt nya användarnamn så <strong>måste du aktivera det</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Kolla din inkorg för <strong>%s</strong> och klicka på länken given."
"If you do not activate your username within two days, you will have to sign up again.","Om du inte aktiverar ditt användarnamn inom 2 dagar så måste du registrera dig igen."
"Signup","Registrera dig"
"Congratulations! Your new site, %s, is almost ready.","Grattis! Din nya webbplats, %s, är nästan redo att använda."
"But, before you can start using your site, <strong>you must activate it</strong>.","Men, innan du kan börja använda din webbplats så <strong>måste du aktivera den</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Om du inte aktiverar ditt användarnamn inom 2 dagar så måste du registrera dig igen."
"Still waiting for your email?","Väntar du fortfarande på ditt mail?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Om du inte fått ditt mail än så finns det ett par saker du kan göra:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Vänta en liten stund till. Ibland fördröjs mail av orsaker utanför vår kontroll."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Kolla ditt skräppostfilter/skräppostmapp i ditt e-postprogram. Ibland hamnar mail där av misstag."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Har du angett din e-postadress korrekt? Du har angett %s, om du angett en felaktig e-postadress så kommer du inte att få något mail."
"all","alla"
"none","inga"
"blog","blogg"
"user","användare"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Välkommen Webbplatsadministratör! Du tillåter just nu &#8221;%s&#8221; registreringar. För att ändra eller inaktivera registreringsmöjligheter, gå till  <a href=\"%s\">sidan för inställningar</a>."
"Registration has been disabled.","Nya registreringar har inaktiverats."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Du måste först <a href=\"%s\">logga in</a>, sen kan du skapa en ny webbplats."
"User registration has been disabled.","Registrering av nya användare ha inaktiverats."
"Site registration has been disabled.","Registrering av nya webbplatser ha inaktiverats."
"Sorry, new registrations are not allowed at this time.","Beklagar, nya registreringar tillåts inte just nu."
"You are logged in already. No need to register again!","Du är redan inloggad. Du behöver inte registrera dig igen!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Webbplatsen du letar efter, <strong>%s</strong> finns inte, men du kan skapa den nu!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Webbplatsen du letar efter, <strong>%s</strong> finns inte.</em></p>"
"Learn word","Lägg till ord"
"Insert Page Break","Infoga sidindelning"
"Types","Typer"
"Lower alpha","Alfa gemen"
"Lower greek","Grekisk gemen"
"Lower roman","Romersk gemen"
"Upper alpha","Alfa versal"
"Upper roman","Övre romersk"
"Circle","Cirkel"
"Disc","Prick"
"Square","Fyrkant"
"Rich Text Area","Visuell redigerare"
"Words:","Ord:"
"Styles","Stilar"
"Font size","Textstorlek"
"Font family","Textfamilj"
"Paragraph","Stycke"
"Address","Adress"
"Preformatted","Förformaterad"
"Heading 1","Rubrik 1"
"Heading 2","Rubrik 2"
"Heading 3","Rubrik 3"
"Heading 4","Rubrik 4"
"Heading 5","Rubrik 5"
"Heading 6","Rubrik 6"
"Blockquote","Citering"
"Code","Kod"
"Code sample","Kod exempel"
"Definition term","Definitionsterm"
"Definition description","Definitionsbeskrivning"
"Underline","Understreck"
"Strikethrough (Alt + Shift + D)","Genomstruken (Alt + Skift + D)"
"Align Left (Alt + Shift + L)","Vänsterjustera (Alt + Skift + L)"
"Align Center (Alt + Shift + C)","Centrera (Alt + Skift + C)"
"Align Right (Alt + Shift + R)","Högerjustera (Alt + Skift + R)"
"Align Full (Alt + Shift + J)","Fulljustera (Alt + Skift + J)"
"Outdent","Minska indrag"
"Indent","Indrag"
"Undo (Ctrl + Z)","Ångra (Ctrl + Z)"
"Redo (Ctrl + Y)","Gör om (Ctrl + Y)"
"Cleanup messy code","Rensa upp i felaktig kod"
"Edit HTML Source","Redigera HTML-källa"
"Subscript","Abonnent"
"Superscript","Superskript"
"Insert horizontal ruler","Infoga horizontal linje"
"Remove formatting","Ta bort formatering"
"Select text color","Välj textfärg"
"Select background color","Välj bakgrundsfärg"
"Insert custom character","Infoga specialtecken"
"Toggle guidelines/invisible elements","Visa/göm guidelinjer/dolda element"
"Insert/edit anchor","Infoga/redigera ankare"
"Cut","Klipp ut"
"Copy","Kopiera"
"Paste","Klistra in"
"Image properties","Bildegenskaper"
"New document","Nytt dokument"
"Help","Hjälp"
"Path","Sökväg"
"Are you sure you want to clear all contents?","Är du säker på att du vill ta bort allt innehåll?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Hoppa till verktygsknappar - Alt+Q, Hoppa till redigerare - Alt+Z, Hoppa till elementsökväg - Alt+X"
"Accessibility Help","Hjälp för tillgänglighet"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Tryck på ALT F10 för verktygsfältet. Tryck på ALT 0 för hjälp."
"Toolbar","Verktygsfält"
"About TinyMCE","Om TinyMCE"
"About","Om"
"License","Licens"
"Plugins","Tillägg"
"Plugin","Tillägg"
"Author","Författare"
"Loaded plugins","Inladdade tillägg"
"Anchor name","Ankarnamn"
"HTML Source Editor","HTML källkodsredigerare"
"Word wrap","Ordbrytning"
"Select a color","Välj en färg"
"Picker","Väljare"
"Color picker","Färgväljare"
"Palette colors","Palettefärger"
"Named","Namngivna"
"Named colors","Namngivna färger"
"Color:","Färg:"
"Name:","Namn:"
"Select custom character","Välj specialtecken"
"Use left and right arrows to navigate.","Använd höger och vänster piltangenter för att navigera."
"Image URL","Bildadress"
