"New password","Yeni parola"
"Confirm new password","Yeni parolayı doğrula"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","İpucu: Parolanız en az yedi karakterden oluşmalı. Daha güçlü bir parola için parolanızda büyük/küçük harfler, rakamlar ve ! \" ? $ %s ^ &amp; ) vb karakterler kullanın."
"Registration Form","Kayıt Formu"
"Register For This Site","Bu Siteye Üye Ol"
"A password will be e-mailed to you.","Bir parola size e-posta ile gönderilecek."
"Password Lost and Found","Kaybolan Parolalar Bulunur"
"Lost your password?","Parolanızı mı unuttunuz?"
"You have logged in successfully.","Başarılı bir şekilde giriş yaptınız."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>HATA</strong>: Çerezler engellenmiş ya da tarayıcınız tarafından desteklenmiyor. WordPress'i kullanabilmek için <a href='http://www.google.com/cookies.html'>çerezleri etkinleştirmelisiniz</a>"
"You are now logged out.","Çıkış yapmış bulunuyorsunuz."
"User registration is currently not allowed.","Kullanıcı kaydına şu an izin verilmiyor."
"Check your e-mail for the confirmation link.","Doğrulama bağlantısı için postanızı kontrol edin."
"Check your e-mail for your new password.","Yeni parolanız için postanızı kontrol edin."
"Registration complete. Please check your e-mail.","Kayıt tamamlandı. Lütfen e-posta adresinize bakın."
"Your session has expired. Please log-in again.","Oturumunuzun süresi doldu. Lütfen tekrar giriş yapın."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>WordPress&#8217;i başarı ile güncellediniz!</strong> Daha muhteşem bir deneyim için tekrar giriş yapın."
"This action has been disabled by the administrator.","Bu işlem yönetici tarafından etkisizleştirilmiş."
"Slow down cowboy, no need to check for new mails so often!","Biraz yavaşla kovboy, yeni e-postalara bu kadar sık bakmana gerek yok!"
"There doesn&#8217;t seem to be any new mail.","Yeni e-posta gözükmüyor."
"Author is %s","Yazar: %s"
"<strong>Author:</strong> %s","<strong>Yazar:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Yazı başlığı:</strong> %s"
"Oops: %s","Eyvah: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Görev tamamlandı. <strong>%s</strong> mesajı silindi."
"Site Name:","Site adı:"
"Site Domain:","Site alan adı:"
"sitename","siteadi"
"domain","alan adı"
"Your address will be %s.","Adresiniz %s olacak."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","En az dört karakter uzunluğunda, sadece harfler ve rakamlardan oluşmalıdır. Daha sonra değiştirilemeyeceği için dikkatli seçin!"
"Site Title:","Site başlığı:"
"Privacy:","Gizlilik:"
"Allow search engines to index this site.","Arama motorlarının bu siteyi indekslemelerine izin ver."
"Yes","Evet"
"No","Hayır"
"(Must be at least 4 characters, letters and numbers only.)","(Sadece harf ve sayıdan oluşan en az 4 karakter olmalı.)"
"Email&nbsp;Address:","E-posta&nbsp;Adresi"
"We send your registration email to this address. (Double-check your email address before continuing.)","Kayıt işlemleriniz ile ilgili e-postayı bu adresinize göndereceğiz. (Devam etmeden önce e-posta adresinizi iki kere kontrol edin.)"
"Get <em>another</em> %s site in seconds","Saniyeler içinde <em>bir başka</em> %s sitesi edinin"
"There was a problem, please correct the form below and try again.","Bir hata oluştu, lütfen aşağıdaki formu düzeltip tekrar deneyin."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Tekrar hoşgeldiniz, %s. Aşağıdaki formu doldurarak <strong>hesabınıza bir başka site ekleyebilirsiniz</strong>. Sahip olabileceğiniz site sayısı ile ilgili bir sınır yok, dolayısıyla gönlünüzce site oluşturun ama yazarken sağduyulu olun."
"Sites you are already a member of:","Zaten üyesi olduğunuz siteler:"
